month_start,atc_level3,total_rx_atc3,known_status_rx_atc3,status_coverage_atc3,filled_rx_atc3,refill_adherence_atc3,unique_patients_atc3,pct_female_atc3,median_age_atc3,pct_admin_visits_atc3,low_coverage_flag_atc3
2023-06-01,C05B,2,0,0.0,0,,2,2450.0,2.0,0.0,1
2023-06-01,C05C,2,0,0.0,0,,2,2125.0,2.0,0.0,1
2023-06-01,C07A,44,35,79.55,32,91.43,42,135.23,33.0,0.0,0
2023-06-01,C08C,17,11,64.71,11,100.0,15,405.88,12.0,25.0,1
2023-06-01,C08D,2,2,100.0,2,100.0,2,2750.0,2.0,,0
2023-06-01,C09A,32,18,56.25,16,88.89,31,193.75,23.0,7.69,1
2023-06-01,C09B,56,35,62.5,33,94.29,51,108.04,36.0,0.0,1
2023-06-01,C09C,11,5,45.45,4,80.0,10,554.55,7.0,0.0,1
2023-06-01,C09D,6,4,66.67,4,100.0,6,1050.0,5.0,0.0,1
2023-06-01,C10A,48,27,56.25,20,74.07,44,131.25,35.0,10.0,1
2023-06-01,C10B,3,2,66.67,1,50.0,3,1933.33,3.0,0.0,1
2023-06-01,D01A,2,2,100.0,2,100.0,2,3925.0,1.0,,0
2023-06-01,D02A,1,1,100.0,1,100.0,1,0.0,1.0,,0
2023-06-01,D06B,2,0,0.0,0,,2,2300.0,0.0,0.0,1
2023-06-01,D07A,6,3,50.0,1,33.33,6,775.0,5.0,0.0,1
2023-06-01,D07B,1,0,0.0,0,,1,1100.0,0.0,0.0,1
2023-06-01,D07C,2,2,100.0,1,50.0,1,3350.0,0.0,,0
2023-06-01,D07X,1,0,0.0,0,,1,2500.0,1.0,,1
2023-06-01,D10A,1,1,100.0,0,0.0,1,7600.0,1.0,,0
2023-06-01,G01A,1,1,100.0,1,100.0,1,3800.0,1.0,,0
2023-06-01,G03A,2,2,100.0,1,50.0,2,1575.0,2.0,,0
2023-06-01,G03C,1,1,100.0,1,100.0,1,4900.0,1.0,,0
2023-06-01,G03H,1,1,100.0,1,100.0,1,4300.0,1.0,,0
2023-06-01,G04B,2,2,100.0,2,100.0,2,3125.0,2.0,,0
2023-06-01,G04C,5,5,100.0,5,100.0,3,1340.0,0.0,,0
2023-06-01,H03A,5,1,20.0,0,0.0,5,1080.0,5.0,0.0,1
2023-06-01,H03B,6,6,100.0,4,66.67,5,1016.67,3.0,,0
2023-06-01,ISMT,4,2,50.0,2,100.0,4,1325.0,3.0,0.0,1
2023-06-01,J01A,1,0,0.0,0,,1,4400.0,1.0,0.0,1
2023-06-01,J01C,9,4,44.44,4,100.0,9,500.0,5.0,0.0,1
2023-06-01,J01D,4,2,50.0,2,100.0,4,787.5,4.0,0.0,1
2023-06-01,J01E,2,1,50.0,1,100.0,2,2300.0,2.0,,1
2023-06-01,J01F,10,8,80.0,8,100.0,10,445.0,9.0,0.0,0
2023-06-01,J01M,8,6,75.0,6,100.0,8,681.25,7.0,0.0,0
2023-06-01,J01X,1,0,0.0,0,,1,4700.0,1.0,0.0,1
2023-06-01,J02A,1,1,100.0,1,100.0,1,7700.0,0.0,,0
2023-06-01,M01A,40,30,75.0,28,93.33,40,131.25,31.0,0.0,0
2023-06-01,M02A,1,1,100.0,1,100.0,1,6000.0,1.0,,0
2023-06-01,M03B,11,6,54.55,5,83.33,11,545.45,10.0,0.0,1
2023-06-01,M04A,10,7,70.0,7,100.0,10,660.0,7.0,0.0,0
2023-06-01,MISSING,42,35,83.33,31,88.57,29,159.52,31.0,0.0,0
2023-06-01,N01B,1,1,100.0,1,100.0,1,6900.0,1.0,,0
2023-06-01,N02A,14,13,92.86,12,92.31,13,435.71,10.0,,0
2023-06-01,N02B,16,13,81.25,11,84.62,16,381.25,14.0,0.0,0
2023-06-01,N02C,1,1,100.0,1,100.0,1,4900.0,1.0,,0
2023-06-01,N03A,5,5,100.0,5,100.0,5,1120.0,4.0,,0
2023-06-01,N05A,1,0,0.0,0,,1,6000.0,1.0,,1
2023-06-01,N05B,28,23,82.14,20,86.96,26,208.93,23.0,,0
2023-06-01,N05C,3,3,100.0,2,66.67,3,2400.0,2.0,,0
2023-06-01,N06A,6,6,100.0,5,83.33,6,958.33,5.0,,0
2023-06-01,N06B,17,15,88.24,10,66.67,17,388.24,12.0,0.0,0
2023-06-01,N06D,1,1,100.0,0,0.0,1,7700.0,1.0,,0
2023-06-01,N07C,7,3,42.86,2,66.67,6,971.43,5.0,0.0,1
2023-06-01,P02C,2,1,50.0,1,100.0,2,1550.0,2.0,0.0,1
